województwo,poziom_rozgrywkowy,plec,seniority,rocznik,league_code
,Ekstraklasa,mężczyźni,seniorskie,,1
,1 liga,mężczyźni,seniorskie,,2
,2 liga,mężczyźni,seniorskie,,3
opolskie/śląskie/lubuskie/dolnośląskie,3 liga,mężczyźni,seniorskie,,4
pomorskie/wielkopolskie/zachodniopomorskie/kujawskopomorskie,3 liga,mężczyźni,seniorskie,,4
łódzkie/mazowieckie/warmińskomazurskie/podlaskie,3 liga,mężczyźni,seniorskie,,4
świętokrzyskie/lubelskie/podkarpackie/małopolskie,3 liga,mężczyźni,seniorskie,,4
zachodniopomorskie,4 liga,mężczyźni,seniorskie,,20
pomorskie,4 liga,mężczyźni,seniorskie,,20
podkarpackie,4 liga,mężczyźni,seniorskie,,20
mazowieckie,4 liga,mężczyźni,seniorskie,,20
małopolskie,4 liga,mężczyźni,seniorskie,,20
śląskie,4 liga,mężczyźni,seniorskie,,20
wielkopolskie,4 liga,mężczyźni,seniorskie,,20
kujawskopomorskie,4 liga,mężczyźni,seniorskie,,20
lubuskie,4 liga,mężczyźni,seniorskie,,20
warmińskomazurskie,4 liga,mężczyźni,seniorskie,,20
lubelskie,4 liga,mężczyźni,seniorskie,,20
łódzkie,4 liga,mężczyźni,seniorskie,,20
dolnośląskie,4 liga,mężczyźni,seniorskie,,20
podlaskie,4 liga,mężczyźni,seniorskie,,20
opolskie,4 liga,mężczyźni,seniorskie,,20
świętokrzyskie,4 liga,mężczyźni,seniorskie,,20
wielkopolskie,5 liga,mężczyźni,seniorskie,,21
zachodniopomorskie,Liga Okręgowa,mężczyźni,seniorskie,,5
pomorskie,Liga Okręgowa,mężczyźni,seniorskie,,5
podkarpackie,Liga Okręgowa,mężczyźni,seniorskie,,5
mazowieckie,Liga Okręgowa,mężczyźni,seniorskie,,5
małopolskie,Liga Okręgowa,mężczyźni,seniorskie,,5
śląskie,Liga Okręgowa,mężczyźni,seniorskie,,5
wielkopolskie,Liga Okręgowa,mężczyźni,seniorskie,,5
kujawskopomorskie,Liga Okręgowa,mężczyźni,seniorskie,,5
lubuskie,Liga Okręgowa,mężczyźni,seniorskie,,5
warmińskomazurskie,Liga Okręgowa,mężczyźni,seniorskie,,5
lubelskie,Liga Okręgowa,mężczyźni,seniorskie,,5
łódzkie,Liga Okręgowa,mężczyźni,seniorskie,,5
dolnośląskie,Liga Okręgowa,mężczyźni,seniorskie,,5
podlaskie,Liga Okręgowa,mężczyźni,seniorskie,,5
opolskie,Liga Okręgowa,mężczyźni,seniorskie,,5
świętokrzyskie,Liga Okręgowa,mężczyźni,seniorskie,,5
zachodniopomorskie,A klasa,mężczyźni,seniorskie,,6
pomorskie,A klasa,mężczyźni,seniorskie,,6
podkarpackie,A klasa,mężczyźni,seniorskie,,6
mazowieckie,A klasa,mężczyźni,seniorskie,,6
małopolskie,A klasa,mężczyźni,seniorskie,,6
śląskie,A klasa,mężczyźni,seniorskie,,6
wielkopolskie,A klasa,mężczyźni,seniorskie,,6
kujawskopomorskie,A klasa,mężczyźni,seniorskie,,6
lubuskie,A klasa,mężczyźni,seniorskie,,6
warmińskomazurskie,A klasa,mężczyźni,seniorskie,,6
lubelskie,A klasa,mężczyźni,seniorskie,,6
łódzkie,A klasa,mężczyźni,seniorskie,,6
dolnośląskie,A klasa,mężczyźni,seniorskie,,6
podlaskie,A klasa,mężczyźni,seniorskie,,6
opolskie,A klasa,mężczyźni,seniorskie,,6
świętokrzyskie,A klasa,mężczyźni,seniorskie,,6
dolnośląskie,B klasa,mężczyźni,seniorskie,,7
lubuskie,B klasa,mężczyźni,seniorskie,,7
pomorskie,B klasa,mężczyźni,seniorskie,,7
śląskie,B klasa,mężczyźni,seniorskie,,7
małopolskie,B klasa,mężczyźni,seniorskie,,7
podkarpackie,B klasa,mężczyźni,seniorskie,,7
lubelskie,B klasa,mężczyźni,seniorskie,,7
mazowieckie,B klasa,mężczyźni,seniorskie,,7
świętokrzyskie,B klasa,mężczyźni,seniorskie,,7
opolskie,B klasa,mężczyźni,seniorskie,,7
łódzkie,B klasa,mężczyźni,seniorskie,,7
warmińskomazurskie,B klasa,mężczyźni,seniorskie,,7
kujawskopomorskie,B klasa,mężczyźni,seniorskie,,7
zachodniopomorskie,B klasa,mężczyźni,seniorskie,,7
wielkopolskie,B klasa,mężczyźni,seniorskie,,7
wielkopolskie,C klasa,mężczyźni,seniorskie,,5002
małopolskie,C klasa,mężczyźni,seniorskie,,5002
śląskie,C klasa,mężczyźni,seniorskie,,5002
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Junior A1 U-19,8
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Junior A2 U-18,9
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Junior Młodszy B2 U-16,11
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
mazowieckie,Ekstraliga,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
dolnośląskie,5 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
śląskie,5 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
śląskie,5 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
dolnośląskie,5 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
śląskie,5 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
śląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Junior A1 U-19,8
dolnośląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
śląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
dolnośląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
kujawskopomorskie,4 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
śląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
śląskie,4 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
kujawskopomorskie,4 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
śląskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior A1 U-19,8
dolnośląskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior A1 U-19,8
kujawskopomorskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior A1 U-19,8
małopolskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior A1 U-19,8
dolnośląskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
kujawskopomorskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
lubuskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
małopolskie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
mazowieckie,3 liga okręgowa,mężczyźni,młodzieżowe,Junior Młodszy B2 U-16,11
kujawskopomorskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
śląskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
dolnośląskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
małopolskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
mazowieckie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
lubuskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C1 U-15,12
kujawskopomorskie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
mazowieckie,3 liga okręgowa,mężczyźni,młodzieżowe,Trampkarz C2 U-14,13
kujawskopomorskie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior A1 U-19,8
śląskie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior A1 U-19,8
opolskie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior A1 U-19,8
łódzkie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior A1 U-19,8
śląskie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
dolnośląskie,2 liga wojewódzka,mężczyźni,młodzieżowe,Junior Młodszy B1 U-17,10
